Date,Open,High,Low,Close,Return %,ASX accum. Return %,Gold USD,Gold AUD,Gold Return %,Gold Accum. Return %,AU/USD,Silver USD,Silver AUD,Silver Return %,Silver Accum. Return %,PE Ratio,Dividend Yield (%)
1/6/92,1704.60,1704.60,1704.60,1704.60,0.00,0.00,352.72,473.52,0.00,0.00,0.74,4.06,5.45,0.00,0.00,18.30,3.60
1/7/92,1700.50,1704.50,1646.40,1665.90,-2.27,-2.27,352.72,473.52,0.00,0.00,0.74,3.97,5.33,-2.22,-2.22,17.30,3.70
1/8/92,1668.40,1685.00,1620.60,1633.30,-1.96,-4.18,343.06,472.34,-0.25,-0.25,0.73,3.82,5.26,-1.31,-3.50,18.20,3.90
1/9/92,1632.80,1632.80,1526.50,1557.90,-4.62,-8.61,345.43,478.57,1.32,1.07,0.72,3.77,5.22,-0.69,-4.17,17.10,4.10
1/10/92,1551.00,1551.00,1483.90,1487.90,-4.49,-12.71,344.38,482.02,0.72,1.80,0.71,3.75,5.25,0.49,-3.70,16.80,4.30
1/11/92,1474.70,1486.70,1417.80,1428.80,-3.97,-16.18,335.02,485.77,0.78,2.59,0.69,3.77,5.47,4.15,0.29,17.40,4.00
1/12/92,1412.70,1467.90,1358.50,1456.40,1.93,-14.56,334.80,484.91,-0.18,2.41,0.69,3.73,5.40,-1.17,-0.88,18.40,3.70
1/1/93,1452.30,1564.70,1442.10,1564.70,7.44,-8.21,329.01,487.55,0.54,2.96,0.67,3.68,5.45,0.94,0.05,18.20,3.80
1/2/93,1576.10,1579.90,1502.20,1536.50,-1.80,-9.86,329.31,482.56,-1.02,1.91,0.68,3.66,5.36,-1.65,-1.60,19.20,3.60
1/3/93,1538.30,1623.90,1538.30,1620.20,5.45,-4.95,330.08,466.03,-3.43,-1.58,0.71,3.65,5.15,-3.91,-5.45,19.40,3.60
1/4/93,1652.80,1689.70,1623.60,1674.50,3.35,-1.77,342.15,481.01,3.22,1.58,0.71,3.96,5.57,8.03,2.14,19.70,3.50
1/5/93,1676.40,1716.00,1662.00,1685.20,0.64,-1.14,367.18,526.53,9.46,11.20,0.70,4.46,6.40,14.88,17.34,20.50,3.40
1/6/93,1668.70,1762.50,1668.10,1737.40,3.10,1.92,371.89,551.93,4.82,16.56,0.67,4.37,6.49,1.41,18.99,19.50,3.40
1/7/93,1732.80,1742.60,1697.70,1734.60,-0.16,1.76,392.19,579.16,4.93,22.31,0.68,5.02,7.41,14.30,36.01,20.60,3.20
